id,pose_type,coordinate_frame,units,quaternion_order,scanner_forward_axis,scanner_up_axis,viewpoint_quaternion_meaning,x,y,z,qw,qx,qy,qz
0,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,-1,0.75,0,0,0,1
1,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,-0.3333333333,0.75,0,0,0,1
2,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,0.3333333333,0.75,0,0,0,1
3,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,1,0.75,0,0,0,1
4,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,-1,1.016666667,0,0,0,1
5,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,-0.3333333333,1.016666667,0,0,0,1
6,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,0.3333333333,1.016666667,0,0,0,1
7,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,1,1.016666667,0,0,0,1
8,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,-1,1.283333333,0,0,0,1
9,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,-0.3333333333,1.283333333,0,0,0,1
10,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,0.3333333333,1.283333333,0,0,0,1
11,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,1,1.283333333,0,0,0,1
12,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.8,-1,1.55,0,0,0,1
13,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,-1,0.75,1,0,0,0
14,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,-0.3333333333,0.75,1,0,0,0
15,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,0.3333333333,0.75,1,0,0,0
16,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,1,0.75,1,0,0,0
17,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,-1,1.016666667,1,0,0,0
18,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,-0.3333333333,1.016666667,1,0,0,0
19,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,0.3333333333,1.016666667,1,0,0,0
20,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,1,1.016666667,1,0,0,0
21,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,-1,1.283333333,1,0,0,0
22,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,-0.3333333333,1.283333333,1,0,0,0
23,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,0.3333333333,1.283333333,1,0,0,0
24,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,1,1.283333333,1,0,0,0
25,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.8,-1,1.55,1,0,0,0
26,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3,1.8,0.75,0.7071067812,0,0,-0.7071067812
