id,pose_type,coordinate_frame,units,quaternion_order,scanner_forward_axis,scanner_up_axis,viewpoint_quaternion_meaning,x,y,z,qw,qx,qy,qz
0,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,2.600000027,-0.8429999976,0.7883221029,0,0,0,1
1,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,2.600000027,0,0.7883221029,0,0,0,1
2,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,2.600000027,0.8429999976,0.7883221029,0,0,0,1
3,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-2.600000027,-0.8429999976,0.7883221029,1,0,0,0
4,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-2.600000027,0,0.7883221029,1,0,0,0
5,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-2.600000027,0.8429999976,0.7883221029,1,0,0,0
6,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.800000027,1.642999998,0.7883221029,0.7071067812,0,0,-0.7071067812
7,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,0,1.642999998,0.7883221029,0.7071067812,0,0,-0.7071067812
8,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,1.800000027,1.642999998,0.7883221029,0.7071067812,0,0,-0.7071067812
9,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.800000027,-1.642999998,0.7883221029,0.7071067812,0,0,0.7071067812
10,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,0,-1.642999998,0.7883221029,0.7071067812,0,0,0.7071067812
11,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,1.800000027,-1.642999998,0.7883221029,0.7071067812,0,0,0.7071067812
12,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,2.600000027,-0.8429999976,1.576644206,0,0,0,1
13,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,2.600000027,0,1.576644206,0,0,0,1
14,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,2.600000027,0.8429999976,1.576644206,0,0,0,1
15,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-2.600000027,-0.8429999976,1.576644206,1,0,0,0
16,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-2.600000027,0,1.576644206,1,0,0,0
17,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-2.600000027,0.8429999976,1.576644206,1,0,0,0
18,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.800000027,1.642999998,1.576644206,0.7071067812,0,0,-0.7071067812
19,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,0,1.642999998,1.576644206,0.7071067812,0,0,-0.7071067812
20,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,1.800000027,1.642999998,1.576644206,0.7071067812,0,0,-0.7071067812
21,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.800000027,-1.642999998,1.576644206,0.7071067812,0,0,0.7071067812
22,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,0,-1.642999998,1.576644206,0.7071067812,0,0,0.7071067812
23,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,1.800000027,-1.642999998,1.576644206,0.7071067812,0,0,0.7071067812
