id,pose_type,coordinate_frame,units,quaternion_order,scanner_forward_axis,scanner_up_axis,viewpoint_quaternion_meaning,x,y,z,qw,qx,qy,qz
0,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.801784576,-0.3722580662,1.360562663,0,0,0,1
1,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.820534847,-0.07981835836,0.7932609104,1,0,0,0
2,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,1.737466659,1.848358085,1.494698719,0.7071067812,0,0,-0.7071067812
3,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-0.9163963638,-1.790806869,0.6594803739,0.7071067812,0,0,0.7071067812
4,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.871489549,-0.03031059489,1.015723704,0,0,0,1
5,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.918344653,-0.4517942874,0.8095682346,1,0,0,0
6,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.716776821,1.718745267,0.8741409847,0.7071067812,0,0,-0.7071067812
7,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,1.332644738,-1.734442998,1.213695575,0.7071067812,0,0,0.7071067812
8,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.904069953,-0.3638698051,0.900680183,0,0,0,1
9,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.801851358,-0.3230446615,1.289403286,1,0,0,0
10,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.062117939,1.711093334,1.657887921,0.7071067812,0,0,-0.7071067812
11,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.719077245,-1.684359146,1.341738025,0.7071067812,0,0,0.7071067812
12,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,3.711156459,-0.2971053966,0.822930328,0,0,0,1
13,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-3.771590386,-0.2252325719,1.493729619,1,0,0,0
14,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,-1.679706988,1.775882681,0.7589526675,0.7071067812,0,0,-0.7071067812
15,scanner_pose_in_world,world,meters,"qw,qx,qy,qz",+X,+Z,scanner_frame_orientation_in_world,0.3762013944,-1.729252206,0.9606220699,0.7071067812,0,0,0.7071067812
